O*NET-SOC Code,Skill,Importance,Title
29-1222.00,Reading Comprehension,4.25,"Physicians, Pathologists"
29-1221.00,Judgment and Decision Making,4.25,"Pediatricians, General"
29-1221.00,Critical Thinking,4.25,"Pediatricians, General"
29-1221.00,Speaking,4.25,"Pediatricians, General"
23-1021.00,Critical Thinking,4.25,"Administrative Law Judges, Adjudicators, and Hearing Officers"
21-1022.00,Social Perceptiveness,4.25,Healthcare Social Workers
29-1217.00,Active Listening,4.25,Neurologists
43-5031.00,Speaking,4.25,Public Safety Telecommunicators
43-5031.00,Active Listening,4.25,Public Safety Telecommunicators
13-1041.03,Active Listening,4.25,Equal Opportunity Representatives and Officers
23-1023.00,Reading Comprehension,4.25,"Judges, Magistrate Judges, and Magistrates"
29-1215.00,Reading Comprehension,4.25,Family Medicine Physicians
29-1223.00,Critical Thinking,4.25,Psychiatrists
23-1012.00,Active Listening,4.25,Judicial Law Clerks
29-1224.00,Writing,4.25,Radiologists
29-1229.03,Reading Comprehension,4.25,Urologists
29-1229.05,Critical Thinking,4.25,Preventive Medicine Physicians
29-1229.03,Judgment and Decision Making,4.25,Urologists
11-1011.00,Social Perceptiveness,4.25,Chief Executives
11-1011.00,Coordination,4.25,Chief Executives
29-1229.06,Critical Thinking,4.25,Sports Medicine Physicians
11-9032.00,Reading Comprehension,4.25,"Education Administrators, Kindergarten through Secondary"
29-1229.03,Writing,4.25,Urologists
29-1229.03,Active Listening,4.25,Urologists
29-1241.00,Reading Comprehension,4.25,"Ophthalmologists, Except Pediatric"
21-1023.00,Social Perceptiveness,4.25,Mental Health and Substance Abuse Social Workers
11-9032.00,Critical Thinking,4.25,"Education Administrators, Kindergarten through Secondary"
11-9032.00,Learning Strategies,4.25,"Education Administrators, Kindergarten through Secondary"
11-9032.00,Social Perceptiveness,4.25,"Education Administrators, Kindergarten through Secondary"
21-2011.00,Social Perceptiveness,4.25,Clergy
21-2011.00,Service Orientation,4.25,Clergy
29-1241.00,Critical Thinking,4.25,"Ophthalmologists, Except Pediatric"
11-1011.00,Management of Personnel Resources,4.25,Chief Executives
23-1011.00,Critical Thinking,4.25,Lawyers
13-1075.00,Reading Comprehension,4.25,Labor Relations Specialists
29-1215.00,Active Listening,4.25,Family Medicine Physicians
29-1141.02,Active Listening,4.25,Advanced Practice Psychiatric Nurses
13-2099.01,Mathematics,4.25,Financial Quantitative Analysts
15-2021.00,Critical Thinking,4.25,Mathematicians
15-2011.00,Judgment and Decision Making,4.25,Actuaries
15-2011.00,Critical Thinking,4.25,Actuaries
15-2011.00,Mathematics,4.25,Actuaries
21-1012.00,Speaking,4.25,"Educational, Guidance, and Career Counselors and Advisors"
21-1012.00,Social Perceptiveness,4.25,"Educational, Guidance, and Career Counselors and Advisors"
21-1011.00,Speaking,4.25,Substance Abuse and Behavioral Disorder Counselors
29-1129.01,Social Perceptiveness,4.25,Art Therapists
21-1013.00,Speaking,4.25,Marriage and Family Therapists
29-1129.02,Social Perceptiveness,4.25,Music Therapists
15-1211.01,Reading Comprehension,4.25,Health Informatics Specialists
29-1141.02,Social Perceptiveness,4.25,Advanced Practice Psychiatric Nurses
25-1042.00,Speaking,4.25,"Biological Science Teachers, Postsecondary"
21-1011.00,Active Listening,4.25,Substance Abuse and Behavioral Disorder Counselors
21-1014.00,Speaking,4.25,Mental Health Counselors
17-2031.00,Critical Thinking,4.25,Bioengineers and Biomedical Engineers
25-1022.00,Mathematics,4.25,"Mathematical Science Teachers, Postsecondary"
51-8092.00,Operations Monitoring,4.25,Gas Plant Operators
43-9081.00,Reading Comprehension,4.25,Proofreaders and Copy Markers
25-1011.00,Speaking,4.25,"Business Teachers, Postsecondary"
23-1023.00,Judgment and Decision Making,4.25,"Judges, Magistrate Judges, and Magistrates"
25-1043.00,Instructing,4.25,"Forestry and Conservation Science Teachers, Postsecondary"
47-2072.00,Operation and Control,4.12,Pile Driver Operators
45-2011.00,Quality Control Analysis,4.12,Agricultural Inspectors
21-1011.00,Social Perceptiveness,4.12,Substance Abuse and Behavioral Disorder Counselors
21-1011.00,Critical Thinking,4.12,Substance Abuse and Behavioral Disorder Counselors
21-1091.00,Speaking,4.12,Health Education Specialists
47-2073.00,Operation and Control,4.12,Operating Engineers and Other Construction Equipment Operators
19-3093.00,Critical Thinking,4.12,Historians
21-1091.00,Writing,4.12,Health Education Specialists
19-3094.00,Active Learning,4.12,Political Scientists
19-3032.00,Speaking,4.12,Industrial-Organizational Psychologists
19-3094.00,Active Listening,4.12,Political Scientists
19-3091.00,Critical Thinking,4.12,Anthropologists and Archeologists
19-3094.00,Speaking,4.12,Political Scientists
21-1021.00,Critical Thinking,4.12,"Child, Family, and School Social Workers"
21-1023.00,Speaking,4.12,Mental Health and Substance Abuse Social Workers
21-1012.00,Reading Comprehension,4.12,"Educational, Guidance, and Career Counselors and Advisors"
21-1023.00,Active Listening,4.12,Mental Health and Substance Abuse Social Workers
19-3051.00,Active Listening,4.12,Urban and Regional Planners
19-3041.00,Reading Comprehension,4.12,Sociologists
19-3051.00,Speaking,4.12,Urban and Regional Planners
19-4031.00,Science,4.12,Chemical Technicians
19-3051.00,Judgment and Decision Making,4.12,Urban and Regional Planners
21-1022.00,Speaking,4.12,Healthcare Social Workers
21-1022.00,Service Orientation,4.12,Healthcare Social Workers
19-3091.00,Active Listening,4.12,Anthropologists and Archeologists
19-3032.00,Complex Problem Solving,4.12,Industrial-Organizational Psychologists
21-1014.00,Reading Comprehension,4.12,Mental Health Counselors
21-1012.00,Service Orientation,4.12,"Educational, Guidance, and Career Counselors and Advisors"
19-3091.00,Speaking,4.12,Anthropologists and Archeologists
21-1021.00,Social Perceptiveness,4.12,"Child, Family, and School Social Workers"
21-1091.00,Active Listening,4.12,Health Education Specialists
19-3022.00,Critical Thinking,4.12,Survey Researchers
19-3032.00,Judgment and Decision Making,4.12,Industrial-Organizational Psychologists
11-1011.00,Reading Comprehension,4.12,Chief Executives
19-1021.00,Complex Problem Solving,4.12,Biochemists and Biophysicists
19-3011.01,Writing,4.12,Environmental Economists
51-9162.00,Programming,4.12,Computer Numerically Controlled Tool Programmers
13-1041.04,Active Listening,4.12,Government Property Inspectors and Investigators
13-1071.00,Speaking,4.12,Human Resources Specialists
13-1075.00,Writing,4.12,Labor Relations Specialists
13-1075.00,Persuasion,4.12,Labor Relations Specialists
13-1081.01,Reading Comprehension,4.12,Logistics Engineers
13-1081.01,Systems Analysis,4.12,Logistics Engineers
13-1111.00,Reading Comprehension,4.12,Management Analysts
13-1111.00,Active Listening,4.12,Management Analysts
13-1111.00,Critical Thinking,4.12,Management Analysts
13-1131.00,Speaking,4.12,Fundraisers
51-8093.00,Operations Monitoring,4.12,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
13-1151.00,Learning Strategies,4.12,Training and Development Specialists
51-8091.00,Operations Monitoring,4.12,Chemical Plant and System Operators
13-2061.00,Reading Comprehension,4.12,Financial Examiners
13-2061.00,Critical Thinking,4.12,Financial Examiners
13-2099.01,Critical Thinking,4.12,Financial Quantitative Analysts
13-2099.04,Writing,4.12,"Fraud Examiners, Investigators and Analysts"
15-1254.00,Programming,4.12,Web Developers
15-1299.08,Reading Comprehension,4.12,Computer Systems Engineers/Architects
15-1299.08,Critical Thinking,4.12,Computer Systems Engineers/Architects
15-1299.09,Critical Thinking,4.12,Information Technology Project Managers
15-2011.00,Reading Comprehension,4.12,Actuaries
15-2021.00,Complex Problem Solving,4.12,Mathematicians
13-1041.03,Reading Comprehension,4.12,Equal Opportunity Representatives and Officers
13-1031.00,Reading Comprehension,4.12,"Claims Adjusters, Examiners, and Investigators"
19-3011.00,Critical Thinking,4.12,Economists
11-9199.11,Complex Problem Solving,4.12,Brownfield Redevelopment Specialists and Site Managers
11-3121.00,Management of Personnel Resources,4.12,Human Resources Managers
11-3131.00,Instructing,4.12,Training and Development Managers
11-9032.00,Writing,4.12,"Education Administrators, Kindergarten through Secondary"
11-9032.00,Judgment and Decision Making,4.12,"Education Administrators, Kindergarten through Secondary"
11-9033.00,Reading Comprehension,4.12,"Education Administrators, Postsecondary"
11-9033.00,Critical Thinking,4.12,"Education Administrators, Postsecondary"
11-9041.00,Reading Comprehension,4.12,Architectural and Engineering Managers
53-4011.00,Operation and Control,4.12,Locomotive Engineers
11-9081.00,Active Listening,4.12,Lodging Managers
11-9081.00,Service Orientation,4.12,Lodging Managers
11-9111.00,Speaking,4.12,Medical and Health Services Managers
11-9111.00,Critical Thinking,4.12,Medical and Health Services Managers
11-9121.00,Science,4.12,Natural Sciences Managers
53-2031.00,Speaking,4.12,Flight Attendants
53-2021.00,Judgment and Decision Making,4.12,Air Traffic Controllers
53-2021.00,Critical Thinking,4.12,Air Traffic Controllers
11-9161.00,Speaking,4.12,Emergency Management Directors
11-9161.00,Service Orientation,4.12,Emergency Management Directors
53-2012.00,Operations Monitoring,4.12,Commercial Pilots
11-9161.00,Judgment and Decision Making,4.12,Emergency Management Directors
53-2011.00,Monitoring,4.12,"Airline Pilots, Copilots, and Flight Engineers"
53-2011.00,Critical Thinking,4.12,"Airline Pilots, Copilots, and Flight Engineers"
53-2011.00,Active Listening,4.12,"Airline Pilots, Copilots, and Flight Engineers"
15-2031.00,Critical Thinking,4.12,Operations Research Analysts
15-2031.00,Complex Problem Solving,4.12,Operations Research Analysts
15-2041.00,Critical Thinking,4.12,Statisticians
49-9097.00,Troubleshooting,4.12,Signal and Track Switch Repairers
19-1022.00,Writing,4.12,Microbiologists
19-1029.01,Reading Comprehension,4.12,Bioinformatics Scientists
19-1029.01,Critical Thinking,4.12,Bioinformatics Scientists
19-1029.02,Critical Thinking,4.12,Molecular and Cellular Biologists
19-1029.03,Science,4.12,Geneticists
47-5022.00,Operation and Control,4.12,"Excavating and Loading Machine and Dragline Operators, Surface Mining"
19-1041.00,Speaking,4.12,Epidemiologists
19-1041.00,Active Learning,4.12,Epidemiologists
19-1041.00,Judgment and Decision Making,4.12,Epidemiologists
19-1042.00,Speaking,4.12,"Medical Scientists, Except Epidemiologists"
19-1042.00,Science,4.12,"Medical Scientists, Except Epidemiologists"
19-1042.00,Active Learning,4.12,"Medical Scientists, Except Epidemiologists"
19-2011.00,Critical Thinking,4.12,Astronomers
19-2012.00,Speaking,4.12,Physicists
19-2012.00,Critical Thinking,4.12,Physicists
19-2021.00,Reading Comprehension,4.12,Atmospheric and Space Scientists
19-2032.00,Reading Comprehension,4.12,Materials Scientists
19-2032.00,Science,4.12,Materials Scientists
19-2032.00,Critical Thinking,4.12,Materials Scientists
19-2041.03,Reading Comprehension,4.12,Industrial Ecologists
19-2042.00,Reading Comprehension,4.12,"Geoscientists, Except Hydrologists and Geographers"
19-3011.00,Reading Comprehension,4.12,Economists
19-3011.00,Mathematics,4.12,Economists
19-1022.00,Reading Comprehension,4.12,Microbiologists
21-1094.00,Speaking,4.12,Community Health Workers
19-1021.00,Active Learning,4.12,Biochemists and Biophysicists
17-2141.02,Critical Thinking,4.12,Automotive Engineers
17-1022.01,Mathematics,4.12,Geodetic Surveyors
17-2011.00,Critical Thinking,4.12,Aerospace Engineers
17-2021.00,Critical Thinking,4.12,Agricultural Engineers
17-2031.00,Reading Comprehension,4.12,Bioengineers and Biomedical Engineers
17-2031.00,Active Listening,4.12,Bioengineers and Biomedical Engineers
17-2031.00,Complex Problem Solving,4.12,Bioengineers and Biomedical Engineers
17-2031.00,Judgment and Decision Making,4.12,Bioengineers and Biomedical Engineers
17-2041.00,Complex Problem Solving,4.12,Chemical Engineers
17-2111.02,Critical Thinking,4.12,Fire-Prevention and Protection Engineers
17-2112.02,Reading Comprehension,4.12,Validation Engineers
17-2141.02,Complex Problem Solving,4.12,Automotive Engineers
19-1021.00,Speaking,4.12,Biochemists and Biophysicists
17-2151.00,Complex Problem Solving,4.12,"Mining and Geological Engineers, Including Mining Safety Engineers"
17-2161.00,Science,4.12,Nuclear Engineers
17-2199.03,Reading Comprehension,4.12,"Energy Engineers, Except Wind and Solar"
49-3042.00,Repairing,4.12,"Mobile Heavy Equipment Mechanics, Except Engines"
49-3042.00,Troubleshooting,4.12,"Mobile Heavy Equipment Mechanics, Except Engines"
49-3011.00,Troubleshooting,4.12,Aircraft Mechanics and Service Technicians
49-3011.00,Operations Monitoring,4.12,Aircraft Mechanics and Service Technicians
49-2092.00,Repairing,4.12,"Electric Motor, Power Tool, and Related Repairers"
19-1011.00,Reading Comprehension,4.12,Animal Scientists
19-1021.00,Active Listening,4.12,Biochemists and Biophysicists
21-1094.00,Active Listening,4.12,Community Health Workers
25-1043.00,Learning Strategies,4.12,"Forestry and Conservation Science Teachers, Postsecondary"
21-1094.00,Social Perceptiveness,4.12,Community Health Workers
29-1041.00,Critical Thinking,4.12,Optometrists
29-1071.00,Reading Comprehension,4.12,Physician Assistants
29-1071.00,Critical Thinking,4.12,Physician Assistants
29-2099.08,Active Listening,4.12,Patient Representatives
29-1122.00,Active Listening,4.12,Occupational Therapists
29-1122.00,Monitoring,4.12,Occupational Therapists
29-1122.00,Service Orientation,4.12,Occupational Therapists
29-2091.00,Reading Comprehension,4.12,Orthotists and Prosthetists
29-1125.00,Service Orientation,4.12,Recreational Therapists
29-2061.00,Service Orientation,4.12,Licensed Practical and Licensed Vocational Nurses
29-1127.00,Reading Comprehension,4.12,Speech-Language Pathologists
29-1127.00,Active Listening,4.12,Speech-Language Pathologists
29-1127.00,Critical Thinking,4.12,Speech-Language Pathologists
29-1127.00,Social Perceptiveness,4.12,Speech-Language Pathologists
29-1129.02,Active Listening,4.12,Music Therapists
29-1131.00,Reading Comprehension,4.12,Veterinarians
29-1131.00,Active Listening,4.12,Veterinarians
29-2053.00,Social Perceptiveness,4.12,Psychiatric Technicians
29-1141.00,Social Perceptiveness,4.12,Registered Nurses
29-1141.03,Monitoring,4.12,Critical Care Nurses
29-1141.04,Reading Comprehension,4.12,Clinical Nurse Specialists
29-1141.04,Active Listening,4.12,Clinical Nurse Specialists
29-1141.04,Critical Thinking,4.12,Clinical Nurse Specialists
29-1141.04,Service Orientation,4.12,Clinical Nurse Specialists
29-1151.00,Reading Comprehension,4.12,Nurse Anesthetists
29-1151.00,Critical Thinking,4.12,Nurse Anesthetists
29-9092.00,Reading Comprehension,4.12,Genetic Counselors
29-1041.00,Active Listening,4.12,Optometrists
27-2012.03,Speaking,4.12,Media Programming Directors
29-1041.00,Reading Comprehension,4.12,Optometrists
33-9031.00,Monitoring,4.12,Gambling Surveillance Officers and Gambling Investigators
33-9021.00,Active Listening,4.12,Private Detectives and Investigators
27-2022.00,Learning Strategies,4.12,Coaches and Scouts
27-2022.00,Monitoring,4.12,Coaches and Scouts
27-2032.00,Instructing,4.12,Choreographers
33-3021.06,Active Listening,4.12,Intelligence Analysts
33-3021.06,Reading Comprehension,4.12,Intelligence Analysts
33-3021.00,Critical Thinking,4.12,Detectives and Criminal Investigators
27-3023.00,Reading Comprehension,4.12,"News Analysts, Reporters, and Journalists"
27-3023.00,Active Listening,4.12,"News Analysts, Reporters, and Journalists"
27-3023.00,Writing,4.12,"News Analysts, Reporters, and Journalists"
27-3023.00,Speaking,4.12,"News Analysts, Reporters, and Journalists"
27-3031.00,Active Listening,4.12,Public Relations Specialists
27-3031.00,Speaking,4.12,Public Relations Specialists
27-3042.00,Reading Comprehension,4.12,Technical Writers
27-3043.00,Reading Comprehension,4.12,Writers and Authors
33-1012.00,Active Listening,4.12,First-Line Supervisors of Police and Detectives
27-3091.00,Speaking,4.12,Interpreters and Translators
31-9094.00,Active Listening,4.12,Medical Transcriptionists
11-1011.00,Active Listening,4.12,Chief Executives
29-1021.00,Critical Thinking,4.12,"Dentists, General"
29-1021.00,Judgment and Decision Making,4.12,"Dentists, General"
29-1022.00,Complex Problem Solving,4.12,Oral and Maxillofacial Surgeons
29-1022.00,Judgment and Decision Making,4.12,Oral and Maxillofacial Surgeons
29-9099.01,Social Perceptiveness,4.12,Midwives
29-1161.00,Active Listening,4.12,Nurse Midwives
29-1161.00,Speaking,4.12,Nurse Midwives
29-1161.00,Critical Thinking,4.12,Nurse Midwives
29-1161.00,Social Perceptiveness,4.12,Nurse Midwives
29-1299.01,Active Listening,4.12,Naturopathic Physicians
29-1223.00,Reading Comprehension,4.12,Psychiatrists
29-1223.00,Writing,4.12,Psychiatrists
29-1223.00,Judgment and Decision Making,4.12,Psychiatrists
29-1224.00,Reading Comprehension,4.12,Radiologists
29-1224.00,Active Listening,4.12,Radiologists
29-1224.00,Critical Thinking,4.12,Radiologists
29-1229.01,Active Listening,4.12,Allergists and Immunologists
29-1229.01,Writing,4.12,Allergists and Immunologists
29-1229.01,Critical Thinking,4.12,Allergists and Immunologists
29-1229.01,Judgment and Decision Making,4.12,Allergists and Immunologists
29-1229.02,Reading Comprehension,4.12,Hospitalists
29-1229.02,Active Listening,4.12,Hospitalists
29-1229.02,Speaking,4.12,Hospitalists
29-1229.02,Critical Thinking,4.12,Hospitalists
29-1229.02,Active Learning,4.12,Hospitalists
29-1229.02,Social Perceptiveness,4.12,Hospitalists
29-1229.02,Complex Problem Solving,4.12,Hospitalists
29-1241.00,Active Listening,4.12,"Ophthalmologists, Except Pediatric"
29-1229.06,Judgment and Decision Making,4.12,Sports Medicine Physicians
29-1229.02,Judgment and Decision Making,4.12,Hospitalists
29-1229.03,Critical Thinking,4.12,Urologists
29-1229.06,Monitoring,4.12,Sports Medicine Physicians
29-1229.04,Critical Thinking,4.12,Physical Medicine and Rehabilitation Physicians
29-1229.05,Active Learning,4.12,Preventive Medicine Physicians
29-1299.01,Speaking,4.12,Naturopathic Physicians
29-1299.01,Critical Thinking,4.12,Naturopathic Physicians
29-1222.00,Critical Thinking,4.12,"Physicians, Pathologists"
29-1215.00,Speaking,4.12,Family Medicine Physicians
29-1171.00,Reading Comprehension,4.12,Nurse Practitioners
29-1171.00,Active Listening,4.12,Nurse Practitioners
29-1171.00,Critical Thinking,4.12,Nurse Practitioners
29-1171.00,Complex Problem Solving,4.12,Nurse Practitioners
29-1181.00,Reading Comprehension,4.12,Audiologists
29-1181.00,Active Listening,4.12,Audiologists
29-1211.00,Active Listening,4.12,Anesthesiologists
29-1211.00,Monitoring,4.12,Anesthesiologists
29-1211.00,Judgment and Decision Making,4.12,Anesthesiologists
29-1213.00,Critical Thinking,4.12,Dermatologists
29-1215.00,Writing,4.12,Family Medicine Physicians
29-1216.00,Reading Comprehension,4.12,General Internal Medicine Physicians
29-1222.00,Writing,4.12,"Physicians, Pathologists"
29-1216.00,Active Listening,4.12,General Internal Medicine Physicians
